series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025"
New Mexico,42,48,57,50,46,64,81,64,39,37,42,49,43,35,53,52,59,47,53,56,46,36,50,47,41,38,40,35,57,63,49,57,44,34,38,31,35,34,41,34,36,39,50,36,33,30,43,38,36,43,48,42,39,42,50,54,51,35,30,47,42,41,53,45,53,46,54,44,46,55,23,42,47,46,31,65,48,55,62,66,42,37,34,39,46,48,71,56,60,60,47,77,60,52,45,47,46,46,40,42,47,54,64,40,63,48,42,43,38,57,44,38,60,55,65,70,72,53,52,83,61,63,53,61,40,61,45,77,59,55,54,48,70,77,83,87,57,63,72,65,72,51,60,61,46,44,46,50,66,47,74,85,57,75,47,57,51,64,77,77,80,66,59,68,69,59,53,54,65,67,67,77,71,50,75,74,64,68,53,69,53,66,68,72,72,77,64,106,74,72,45,51,53,52,92,51,61,62,61,56,59,75,59,53,63,53,79,81,85,94,100,84,80,64,63,50,68,58,68,76,65,66,91,73,76,77,65,53,76,81,74,79,74,62,70,91,76,89,76,87,94,79,66,79,88,88,94,90,81,79,77,57,79,88,78,90,84,93,114,93,109,88,58,80,77,70,71,84,85,85,84,113,80,86,94,75,90,62,79,94,98,76,104,117,102,117,77,80,74,79,81,72,85,89,111,102,81,82,81,80,64,61,82,77,125,85,84,83,83,67,70,63,60,43,89,86,69,81,79,89,74,57,48,62,68,71,100,65,88,80,81,77,90,82,54,73,92,61,88,100,114,98,94,92,84,88,64,77,92,92,94,83,75,96,112,84,89,92,75,80,102,86,114,87,120,89,116,96,89,96,85,85,111,78,79,81,72,92,87,116,105,95,92,84,105,82,104,123,106,104,114,128,83,88,97,85,96,108,121,107,105,102,106,132,118,94,101,90,110,94,111,115,105,109,104,107,113,124,90,73,92,100,100,69,91,113,130,112,95,99,69,68,92,92,102,98,118,116,127,97,110,106,73,102,77,93,86,90,102,97,102,103,98,82,99,92,72,72,89,88,91,108,110,102,83,97,65,91,,,,,,,,,,,,,,,
New Mexico Clearances,29,24,21,35,34,24,33,28,16,22,16,25,28,22,20,25,33,17,29,17,29,17,9,19,24,18,25,32,29,36,33,28,23,32,22,26,24,21,22,15,16,20,23,21,15,24,11,34,22,19,23,15,24,22,20,32,28,22,20,21,26,23,24,22,15,25,25,19,27,29,13,12,16,19,16,27,29,25,22,26,16,18,21,19,26,22,31,29,30,23,23,37,27,31,9,32,13,21,13,11,17,20,21,18,16,12,14,18,16,25,25,17,25,19,21,23,17,17,11,8,15,21,15,25,15,20,20,14,18,24,14,15,12,21,27,15,19,15,15,14,19,20,13,17,12,10,16,15,23,12,26,22,12,16,10,19,15,16,35,39,36,24,35,31,24,24,23,30,28,32,33,27,28,34,36,39,43,35,34,32,19,30,31,31,45,30,28,56,34,36,29,26,31,31,33,25,28,23,29,31,23,34,32,29,35,17,32,33,36,27,29,32,27,21,21,25,26,18,28,27,31,20,46,35,36,30,24,27,19,29,24,40,19,23,26,22,40,28,21,33,33,26,27,19,40,33,16,27,31,23,25,37,53,26,31,14,28,34,28,30,42,37,22,14,40,20,23,31,26,18,34,37,27,35,30,35,25,32,27,21,25,27,32,33,25,40,37,26,26,24,20,30,21,28,25,42,18,29,22,26,19,27,29,25,23,29,26,28,27,39,24,22,38,15,30,41,25,33,20,32,36,20,23,28,21,29,37,28,34,35,29,22,25,26,18,32,34,28,29,35,30,27,36,36,31,24,19,34,34,30,41,36,34,52,30,26,26,27,27,19,22,29,26,19,33,31,28,22,42,21,31,28,25,24,26,27,35,27,26,30,16,14,36,15,25,24,54,26,45,38,26,37,28,30,26,24,20,14,25,20,20,10,9,11,15,13,14,10,17,15,16,10,19,17,21,13,8,7,9,9,12,9,8,10,8,13,16,14,15,11,6,7,10,11,7,10,6,10,18,10,11,11,14,10,8,9,13,6,8,7,6,4,2,8,9,1,7,10,14,5,14,9,8,7,6,7,5,5,,,,,,,,,,,,,,,
