series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025"
Mississippi,1640,1449,1549,1385,1289,1291,1647,1507,1445,1519,1548,1631,1722,1555,1471,1452,1354,1383,1667,1892,1572,1562,1683,1787,2007,1723,1631,1509,1609,1646,1765,2006,1666,1664,1767,1861,1828,1729,1632,1412,1669,1651,1964,1830,1883,1782,1629,3156,1768,1378,1505,1616,1656,1683,1819,1724,1528,1542,1681,2923,1876,1591,1793,1573,1756,1830,1854,1935,1713,1605,1605,3080,1984,1622,1706,1650,1808,1768,2129,1965,1803,2018,1863,3114,2060,1666,1674,1513,1637,1625,1920,1973,1843,1729,1750,3115,1864,1352,1731,1710,1652,1778,1795,1881,1938,1790,1692,2792,1808,1743,1819,1765,1885,1743,2057,1881,1880,1732,1748,2010,1803,1420,1550,1470,1676,1469,1561,1540,1503,1632,1589,1516,1978,1411,1412,1468,1571,1627,1922,1677,1686,1801,1599,1826,1956,1565,1482,1614,1637,1649,2049,1764,1644,1656,1504,1665,1786,1315,1422,1502,1533,1564,1684,1615,1719,1556,1493,3331,2174,1334,1607,1753,1830,1771,1817,1805,1828,1575,1580,1924,1797,1424,1698,1785,1891,1691,1946,1915,1760,1828,1754,1759,2006,1359,1669,1744,1851,1829,2088,1950,1894,1891,1938,1901,1998,1484,1529,1698,1899,1779,1852,1940,1860,1846,1590,1768,1919,1413,1670,1798,1963,1836,2003,1815,1853,1927,1723,1715,1821,1463,1584,1654,1704,1740,2035,1886,1802,1886,1953,1776,1826,1381,1711,1618,1661,1738,1989,2012,1776,1554,1563,1620,1677,1338,1596,1801,2154,1875,2079,2180,1817,1898,1853,1973,1795,1408,1695,1877,1760,1738,1922,1944,1837,1799,1602,2182,1586,1305,1461,1725,1743,1837,1986,1865,1961,1792,1568,1927,1843,1383,1780,2000,1959,2046,2294,2250,2148,2267,2130,2388,1972,1429,1799,2061,2213,2237,2394,2449,2237,2182,2121,2173,1845,1303,1805,1902,2191,2117,2142,2098,1856,1992,1930,1964,1920,1258,1500,1734,1943,1733,2013,1972,1682,1571,1722,1655,1663,1200,1244,1360,1440,1431,1560,1490,1350,1282,1155,1286,1303,972,1080,1108,1253,1344,1365,1299,1174,1275,1267,1449,1352,888,1102,1116,1318,1166,1289,1246,1189,1391,1089,1189,1144,879,961,1013,1085,1114,1304,1285,1143,1030,1176,1047,1208,878,834,974,953,1112,1144,1120,987,967,952,922,905,723,819,775,873,877,990,865,736,750,740,817,893,659,662,705,738,709,919,852,839,720,724,748,869,794,847,851,786,727,869,990,852,894,819,647,709,494,532,435,523,671,743,619,671,642,627,548,508,416,507,490,558,528,525,557,503,457,445,445,439,411,420,415,422,398,390,470,409,394,370,363,,,,,,,,,,,,,,,
Mississippi Clearances,330,232,283,271,200,159,229,241,223,272,251,256,227,232,196,170,185,183,222,221,216,203,227,239,267,290,254,193,225,202,260,233,243,198,266,223,294,247,250,181,195,194,209,230,296,223,223,341,246,201,193,217,207,240,243,266,205,175,209,346,233,225,233,204,203,164,225,287,251,185,224,326,275,207,273,249,183,239,243,242,234,166,188,462,271,198,185,183,161,190,241,193,225,212,203,364,198,158,222,223,162,198,194,179,248,184,192,302,207,166,205,186,157,192,212,200,203,137,149,200,213,151,188,167,165,181,145,191,172,213,158,174,261,164,174,185,166,222,200,185,164,211,178,190,173,222,158,183,172,138,178,124,103,115,98,108,177,113,112,99,142,166,164,163,186,111,86,1213,288,192,246,256,225,277,280,252,231,201,184,244,265,204,241,252,282,263,265,321,275,254,209,215,295,215,255,255,280,219,313,301,319,270,330,295,349,235,223,240,242,230,260,228,267,234,197,222,234,163,230,192,241,256,287,240,237,264,245,208,216,171,186,228,213,216,235,189,202,201,191,121,231,170,228,212,165,162,188,214,199,144,135,148,175,157,206,153,201,200,223,275,207,257,233,177,170,162,195,190,175,194,246,196,242,202,173,189,160,134,150,185,165,148,159,159,186,148,117,178,165,137,134,165,202,179,240,223,174,176,183,168,228,151,161,190,216,239,265,266,215,182,226,262,162,137,265,198,197,204,195,216,193,241,208,236,229,157,202,224,239,208,240,233,184,176,167,148,196,147,137,161,151,153,144,158,131,147,115,130,129,146,146,159,190,166,181,179,177,162,154,142,184,115,141,160,143,163,170,125,163,127,133,126,142,114,153,138,129,152,115,174,136,119,155,111,129,135,128,153,113,174,132,171,158,127,129,81,108,92,88,152,90,106,117,94,89,77,83,74,88,76,81,79,89,75,95,83,111,83,82,85,98,75,65,83,62,81,77,96,86,80,66,69,60,34,75,59,57,70,49,86,40,58,80,67,56,55,59,62,69,55,57,60,59,61,43,41,40,63,55,41,67,57,46,34,64,58,32,46,,,,,,,,,,,,,,,
