series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025"
Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,0,0,4,4,1,0,2,0,0,24,5,0,0,2,0,3,0,1,0,1,0,28,7,0,29,5,0,1,52,31,20,47,0,95,15,19,8,2,69,52,11,58,69,9,53,125,0,85,57,32,84,46,54,32,0,14,72,125,51,91,118,15,135,125,56,88,67,40,78,156,11,78,10,73,110,97,12,19,73,55,52,162,2,49,60,56,62,127,8,29,127,92,70,133,190,109,12,165,38,79,147,18,107,126,58,242,110,115,80,135,261,124,285,190,219,26,29,247,73,112,65,128,70,165,103,94,89,117,150,275,94,180,81,123,137,178,230,95,163,174,260,336,197,227,307,185,311,264,401,174,191,238,231,367,196,278,273,254,228,258,246,267,197,289,229,399,290,321,364,333,431,270,324,332,265,359,298,446,467,281,338,416,352,371,415,381,411,301,293,479,377,388,472,388,395,459,437,362,336,330,440,712,405,432,537,517,471,508,471,493,555,427,471,862,433,589,663,524,593,515,599,628,510,604,516,693,601,682,648,661,674,832,738,612,665,657,729,1598,1546,1590,1450,1530,1528,1584,1607,1440,1481,1361,1495,1487,1461,1592,1373,1491,1492,1484,1510,1300,1456,1362,1316,1547,1425,1520,1423,1424,1362,1431,1425,1365,1451,1279,1253,1556,1350,1347,1306,1395,1437,1481,1455,1401,1443,1441,1414,1471,1321,1659,1450,1348,1352,1349,1401,1319,1345,1401,1402,1429,1447,1704,1481,1482,1556,1536,1587,1422,1499,1389,1416,1523,1570,1792,1539,1687,1622,1607,1643,1515,1535,1437,1429,,,,,,,,,,,,,,,
Virginia Clearances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,1,2,0,0,1,0,0,22,3,0,0,1,0,1,0,0,0,1,0,12,2,0,6,1,0,0,22,9,4,18,0,46,9,5,3,2,25,18,5,17,20,3,16,51,0,28,18,5,36,17,23,10,0,4,34,44,9,22,46,7,39,43,12,16,13,11,36,62,5,29,3,21,49,50,7,5,23,29,19,68,1,21,14,22,17,61,3,10,41,16,18,56,65,48,2,68,19,26,60,10,49,51,15,73,32,37,27,27,112,43,69,70,90,6,5,95,22,25,27,35,24,50,24,24,22,31,46,108,23,58,19,31,36,62,84,27,40,36,78,135,77,81,109,61,107,106,125,79,82,86,68,139,91,106,100,95,82,100,96,86,60,114,76,147,101,114,117,115,127,69,125,119,96,123,89,148,134,79,105,128,107,115,102,100,116,98,92,140,125,135,130,121,112,123,149,118,101,95,125,165,103,101,120,143,137,129,118,128,126,105,116,248,85,146,158,120,155,128,188,166,153,166,176,203,177,197,167,187,174,193,182,172,178,174,204,469,456,483,392,427,439,423,428,400,387,369,412,424,393,430,396,386,451,389,401,387,409,430,332,398,402,443,381,392,356,335,345,330,357,346,339,374,325,449,370,375,380,398,371,332,350,416,359,369,311,456,410,343,346,338,375,332,330,356,394,361,424,555,414,358,424,437,452,365,397,348,392,380,448,604,403,515,495,494,492,433,413,408,407,,,,,,,,,,,,,,,
