series,"01-1985","02-1985","03-1985","04-1985","05-1985","06-1985","07-1985","08-1985","09-1985","10-1985","11-1985","12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025"
Delaware,57,64,62,54,59,56,81,82,46,63,72,77,90,68,69,51,56,77,62,63,59,55,66,70,64,60,50,41,83,49,68,81,81,73,40,46,78,84,53,45,58,52,64,55,73,67,79,76,67,92,84,68,65,66,70,95,83,60,94,90,91,66,99,82,88,94,107,53,88,125,87,110,123,115,123,113,92,108,120,136,136,124,121,145,135,120,57,41,68,71,20,11,70,73,70,56,135,111,108,90,91,107,21,20,20,33,7,19,110,76,69,77,20,15,29,16,20,24,16,20,117,99,109,106,85,4,9,3,5,5,17,28,140,132,112,123,113,145,78,61,58,65,62,70,165,97,119,135,166,125,100,72,85,104,98,81,176,82,93,91,109,91,101,125,124,158,188,148,122,106,130,104,127,100,139,138,123,167,111,125,141,93,121,81,103,101,113,124,103,143,148,143,108,73,96,79,111,86,82,88,114,114,109,111,92,91,84,74,89,78,85,131,126,143,139,186,148,89,140,104,107,98,138,124,111,136,135,111,144,90,94,91,105,82,117,141,139,122,122,96,135,99,99,101,108,118,130,108,114,135,110,104,149,102,144,144,124,134,138,156,151,188,193,168,151,112,131,146,126,151,144,173,156,177,159,137,167,124,147,160,108,139,150,164,203,185,156,144,146,90,109,142,133,154,175,160,128,168,157,117,149,104,169,123,147,172,184,143,148,176,181,143,130,89,123,129,138,126,138,108,153,156,138,130,144,79,124,114,138,106,117,143,158,137,133,105,141,83,92,79,94,91,78,104,135,119,124,93,93,67,88,96,105,96,107,97,123,127,117,155,138,75,66,83,92,112,114,108,93,119,105,135,125,93,89,100,150,96,94,113,132,140,136,91,128,90,82,104,91,77,81,78,90,83,90,85,103,65,50,62,73,62,70,107,65,72,72,59,77,41,48,61,57,78,68,67,69,81,64,73,68,63,58,40,50,53,42,59,63,86,54,61,47,25,43,32,56,54,51,42,44,68,46,57,55,47,54,36,56,56,40,50,45,44,40,60,43,36,40,42,49,51,45,51,53,47,41,45,,,,,,,,,,,,,,,
Delaware Clearances,13,18,16,22,20,25,29,43,32,23,22,20,24,22,25,16,28,31,28,22,22,33,31,30,11,18,29,15,44,20,24,23,23,29,11,19,22,26,31,14,20,23,18,13,17,26,28,35,13,16,39,24,20,24,28,25,27,24,38,25,25,19,23,26,33,37,28,25,20,37,19,23,31,33,36,39,41,31,37,47,37,46,26,41,34,29,21,26,34,20,5,3,25,19,11,19,24,20,40,35,21,45,9,5,10,10,7,9,26,16,23,27,6,9,4,6,7,5,6,9,29,46,47,28,44,3,2,0,1,0,2,6,16,44,42,22,34,34,34,22,9,35,17,23,22,27,28,30,61,39,30,37,28,24,30,36,62,32,30,33,36,24,35,27,38,54,47,42,25,27,39,32,34,57,31,64,35,55,35,35,35,34,29,30,26,53,30,50,26,34,47,48,22,21,35,32,32,32,17,35,41,41,43,30,26,27,25,21,26,27,28,41,38,51,36,42,44,23,46,29,30,26,45,42,31,43,51,30,22,29,23,29,24,21,22,22,46,36,32,25,37,34,38,36,32,39,41,43,15,36,27,18,27,23,41,48,49,45,46,46,42,57,63,53,31,40,36,46,44,43,43,54,53,46,46,36,49,46,64,80,52,41,34,47,66,75,48,42,53,51,42,74,55,46,58,63,44,45,53,53,55,28,44,40,45,47,48,59,47,46,68,52,67,27,67,54,39,35,45,45,64,41,44,41,60,47,44,55,51,44,42,48,61,61,50,25,60,28,50,24,27,44,28,32,40,46,39,39,27,32,27,49,49,36,47,58,47,58,46,56,67,42,20,29,40,40,33,50,37,51,31,57,52,60,34,26,50,47,39,38,46,59,37,34,71,46,41,23,39,33,41,41,31,35,34,29,55,33,29,27,32,23,27,53,26,27,25,26,36,19,25,43,23,29,38,31,29,36,34,25,27,20,27,23,23,22,22,22,30,29,14,18,19,14,22,19,20,29,19,23,16,19,14,15,28,26,25,16,22,30,30,19,19,25,14,31,20,19,19,21,24,26,28,25,25,21,16,26,,,,,,,,,,,,,,,
